codigo_idioma,Nombre_idioma,Ejemplo_de_texto,Traduccion_en_ingles  
ja,日本語,こんにちは お元気ですか,Hello how are you  
en,English,Hello how are you,Hello how are you  
ko,한국어,안녕하세요 어떻게 지내세요,Hello how are you  
zh-CN,中文,你好 你怎么样,Hello how are you  
zh-TW,繁體中文,你好 你好嗎,Hello how are you  
fr,Français,Bonjour comment ça va,Hello how are you  
it,Italiano,Ciao come stai,Hello how are you  
de,Deutsch,Hallo wie geht's,Hello how are you  
tr,Türkçe,Merhaba nasılsın,Hello how are you  
sv,Svenska,Hej hur mår du,Hello how are you  
pl,Polski,Cześć jak się masz,Hello how are you  
uk,Українська,Привіт як справи,Hello how are you  
ru,Русский,Привет как дела,Hello how are you  
es,Español,Hola cómo estás,Hello how are you  
pt,Português,Olá como vai você,Hello how are you  
nl,Nederlands,Hallo hoe gaat het,Hello how are you  
id,Bahasa Indonesia,Halo apa kabar,Hello how are you  
vi,Tiếng Việt,Xin chào bạn khỏe không,Hello how are you  
th,ภาษาไทย,สวัสดี คุณเป็นอย่างไร,Hello how are you  
ar,العربية,مرحبًا كيف حالك,Hello how are you  
so,Soomaali,Subax wanaagsan iska waran,Hello how are you  
